date,total_wallets_per_cohort_t,weighted_retention_rate,cohort,total_wallets_per_cohort,month_1_retention,month_2_retention,month_3_retention,month_4_retention,month_5_retention,month_6_retention,month_7_retention,month_8_retention,month_9_retention,month_10_retention,month_11_retention,month_12_retention
July 01 2024,11480,0.8135084427767355,2024-07-01 00:00:00.000 UTC,11480,0.9577526132404182,0.9319686411149826,0.9066202090592335,0.8869337979094076,0.8621080139372822,0.8432055749128919,0.827787456445993,0.8098432055749128,0.7986062717770035,0.7861498257839721,0.7770905923344947,0.7603658536585366
June 24 2024,14928,0.7992354755819386,2024-06-24 00:00:00.000 UTC,14928,0.9614147909967846,0.920083065380493,0.9042738478027867,0.8818327974276527,0.8603965702036441,0.8288451232583065,0.8191988210075026,0.8045953912111469,0.7869774919614148,0.7610530546623794,0.7516747052518756,0.7408896034297964
June 17 2024,5692,0.7407247238589474,2024-06-17 00:00:00.000 UTC,5692,0.8912508784258608,0.8441672522839072,0.8225579761068166,0.817111735769501,0.7907589599437808,0.7745959241040056,0.7507027406886859,0.7359451862262825,0.7262825017568517,0.7146872803935348,0.7015108924806747,0.6930780042164442
June 10 2024,2464,0.6195471195471196,2024-06-10 00:00:00.000 UTC,2464,0.9172077922077922,0.8262987012987013,0.7828733766233766,0.7219967532467533,0.7118506493506493,0.6603084415584416,0.6440746753246753,0.6132305194805194,0.5876623376623377,0.5681818181818182,0.5568181818181818,0.5405844155844156
June 03 2024,5009,0.6151900937287241,2024-06-03 00:00:00.000 UTC,5009,0.9103613495707726,0.8329007785985226,0.7897783988820124,0.7652225993212218,0.7376721900578957,0.7278897983629466,0.5903373926931523,0.581952485526053,0.5667797963665402,0.5540027949690557,0.5460171690956279,0.540626871631064
May 27 2024,8237,0.7235239367083486,2024-05-27 00:00:00.000 UTC,8237,0.948524948403545,0.9116183076362754,0.8751972805633119,0.8409615151147263,0.8289425761806483,0.8138885516571567,0.8053903120067986,0.7201651086560641,0.6915139006919995,0.6473230545101372,0.6393104285540853,0.6264416656549715
May 20 2024,3953,0.5601523023734003,2024-05-20 00:00:00.000 UTC,3953,0.7654945610928409,0.7315962560080951,0.7012395648874272,0.6615228940045536,0.6329370098659246,0.6056159878573235,0.5681760688084999,0.5747533518846446,0.5509739438401214,0.5261826460915761,0.4862130027826967,0.4809005818365798
May 13 2024,2989,0.6725214676034349,2024-05-13 00:00:00.000 UTC,2989,0.9069923051187688,0.8531281365005018,0.8169956507193041,0.798260287721646,0.7534292405486784,0.7373703579792573,0.7259953161592506,0.6831716293074607,0.6497156239544999,0.6249581799933088,0.5874874539979926,0.5751087320173971
May 06 2024,7265,0.36705137028605717,2024-05-06 00:00:00.000 UTC,7265,0.49855471438403304,0.4791465932553338,0.4567102546455609,0.43688919476944255,0.4239504473503097,0.4137646249139711,0.3910529938059188,0.3859600825877495,0.35898141775636616,0.3489332415691672,0.3086028905712319,0.2927735719201652
April 29 2024,3898,0.7334431858546788,2024-04-29 00:00:00.000 UTC,3898,0.9386865059004618,0.8981528989225244,0.8850692662904054,0.8653155464340687,0.8281169830682401,0.8034889687018985,0.7829656233966137,0.7221652129297076,0.7008722421754746,0.677013853258081,0.6654694715238584,0.6449461262185736
